"date","datatype","station_id","value","fl_c"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",16,"Q"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",48,"Q"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",157,"Q"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",308,"Q"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",490,"Q"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",497,"Q"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",335,"Q"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",114,"Q"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",17,"Q"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",4,"Q"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",742,"R"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",621,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",638,"S"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",568,"S"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",473,"S"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",358,"R"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",120,"S"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",108,"S"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",259,"S"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",533,"S"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",875,"S"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352493",791,"R"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",5,"S"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",783,"C"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",9,"S"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",625,"C"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",33,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",633,"S"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",82,"S"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",521,"S"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",211,"S"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",404,"C"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",344,"S"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",288,"C"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",521,"S"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",93,"C"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",527,"S"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",91,"S"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",366,"S"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",209,"C"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",134,"S"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",493,"S"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",22,"S"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",854,"S"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00352693",3,"S"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00352693",829,"S"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",-7777,"S"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",1248,"S"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",-7777,"S"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",937,"S"
